linear_runtimes,gammoid_runtimes,partition_runtimes,uniform_runtimes,ground_set_sizes,linear_ground_set_sizes
0.026,0.021,0.003,0.003,10,10
0.068,0.061,0.004,0.003,14,14
0.089,0.161,0.007,0.008,18,18
0.166,0.196,0.006,0.005,22,22
0.192,0.372,0.035,0.018,26,26
0.383,0.581,0.008,0.008,30,30
0.708,0.797,0.009,0.009,34,34
4.342,1.174,0.008,0.009,38,38
42.383,1.587,0.009,0.01,42,42
,2.396,0.013,0.013,46,
,3.209,0.014,0.016,50,
,6.466,0.013,0.012,60,
,10.861,0.017,0.017,70,
,19.219,0.033,0.029,80,
,30.596,0.022,0.02,90,
