linear_runtimes,gammoid_runtimes,partition_runtimes,uniform_runtimes,ground_set_sizes,linear_ground_set_sizes
0.015,0.006,0.001,0.001,10,10
0.034,0.026,0.001,0.001,14,14
0.095,0.037,0.004,0.002,18,18
1.228,0.075,0.002,0.002,22,22
87.449,0.111,0.004,0.003,26,26
,0.174,0.003,0.003,30,
,0.3,0.003,0.003,34,
,0.411,0.004,0.006,38,
,0.666,0.005,0.004,42,
,0.9,0.004,0.004,46,
,1.575,0.008,0.005,50,
,2.618,0.005,0.005,60,
,3.893,0.006,0.007,70,
,7.476,0.014,0.013,80,
,12.157,0.007,0.008,90,
