linear_runtimes,graphic_runtimes,planar_runtimes,ground_set_sizes
0.007,0.003,0.009,10
0.064,0.019,0.024,20
0.111,0.03,0.034,30
0.251,0.063,0.09,40
0.49,0.117,0.085,50
0.828,0.196,0.136,60
1.305,0.296,0.172,70
1.977,0.425,0.208,80
2.705,0.601,0.297,90
3.67,0.784,0.374,100
6.273,1.417,0.461,120
13.217,2.689,0.68,150
25.796,5.505,1.168,190
50.243,10.548,1.768,240
