linear_runtimes,graphic_runtimes,planar_runtimes,ground_set_sizes
0.009,0.003,0.007,10
0.05,0.014,0.018,20
0.114,0.035,0.038,30
0.216,0.061,0.054,40
0.413,0.112,0.083,50
0.675,0.217,0.152,60
1.035,0.268,0.141,70
1.427,0.429,0.188,80
1.897,0.576,0.217,90
2.625,0.763,0.283,100
4.282,1.235,0.371,120
7.665,2.385,0.51,150
15.594,4.811,0.947,190
31.037,9.436,1.307,240
